,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Doc8
Doc1,1.0,0.1099,0.1538,0.1107,0.5492,0.1256,0.1642,0.1317
Doc2,0.1099,1.0,0.0475,0.0359,0.0597,0.032,0.058,0.0357
Doc3,0.1538,0.0475,1.0,0.0522,0.0608,0.0297,0.3078,0.0908
Doc4,0.1107,0.0359,0.0522,1.0,0.06,0.0287,0.0526,0.0457
Doc5,0.5492,0.0597,0.0608,0.06,1.0,0.1064,0.0574,0.0673
Doc6,0.1256,0.032,0.0297,0.0287,0.1064,1.0,0.0343,0.029
Doc7,0.1642,0.058,0.3078,0.0526,0.0574,0.0343,1.0,0.1029
Doc8,0.1317,0.0357,0.0908,0.0457,0.0673,0.029,0.1029,1.0
